start_date_new,zip,num_parking_meters,wday
2019-11-01,94102,4128,6
2019-11-01,94103,6411,6
2019-11-01,94104,454,6
2019-11-01,94105,2839,6
2019-11-01,94107,5801,6
2019-11-01,94108,1349,6
2019-11-01,94109,5967,6
2019-11-01,94110,8039,6
2019-11-01,94111,4068,6
2019-11-01,94112,2642,6
2019-11-01,94114,3303,6
2019-11-01,94115,4794,6
2019-11-01,94116,1440,6
2019-11-01,94117,2170,6
2019-11-01,94118,7494,6
2019-11-01,94121,3400,6
2019-11-01,94122,6042,6
2019-11-01,94123,4182,6
2019-11-01,94124,102,6
2019-11-01,94127,3087,6
2019-11-01,94131,541,6
2019-11-01,94132,780,6
2019-11-01,94133,4181,6
2019-11-01,94134,1064,6
2019-11-01,NA,1604,6
2019-11-02,94102,4468,7
2019-11-02,94103,5434,7
2019-11-02,94104,660,7
2019-11-02,94105,3490,7
2019-11-02,94107,5742,7
2019-11-02,94108,2275,7
2019-11-02,94109,6394,7
2019-11-02,94110,8031,7
2019-11-02,94111,3750,7
2019-11-02,94112,2608,7
2019-11-02,94114,3285,7
2019-11-02,94115,4767,7
2019-11-02,94116,1591,7
2019-11-02,94117,2366,7
2019-11-02,94118,7622,7
2019-11-02,94121,3357,7
2019-11-02,94122,6393,7
2019-11-02,94123,4333,7
2019-11-02,94124,82,7
2019-11-02,94127,3394,7
2019-11-02,94131,570,7
2019-11-02,94132,634,7
2019-11-02,94133,4867,7
2019-11-02,94134,823,7
2019-11-02,NA,1917,7
2019-11-04,94102,3996,2
2019-11-04,94103,5900,2
2019-11-04,94104,513,2
2019-11-04,94105,2674,2
2019-11-04,94107,5460,2
2019-11-04,94108,1523,2
2019-11-04,94109,6011,2
2019-11-04,94110,7250,2
2019-11-04,94111,3673,2
2019-11-04,94112,2474,2
2019-11-04,94114,3031,2
2019-11-04,94115,4360,2
2019-11-04,94116,1410,2
2019-11-04,94117,1886,2
2019-11-04,94118,7294,2
2019-11-04,94121,2788,2
2019-11-04,94122,5591,2
2019-11-04,94123,4015,2
2019-11-04,94124,61,2
2019-11-04,94127,3175,2
2019-11-04,94131,645,2
2019-11-04,94132,676,2
2019-11-04,94133,3766,2
2019-11-04,94134,826,2
2019-11-04,NA,1186,2
2019-11-05,94102,4053,3
2019-11-05,94103,5933,3
2019-11-05,94104,510,3
2019-11-05,94105,2769,3
2019-11-05,94107,5680,3
2019-11-05,94108,1517,3
2019-11-05,94109,5948,3
2019-11-05,94110,7015,3
2019-11-05,94111,3959,3
2019-11-05,94112,2361,3
2019-11-05,94114,3097,3
2019-11-05,94115,4504,3
2019-11-05,94116,1344,3
2019-11-05,94117,1905,3
2019-11-05,94118,7321,3
2019-11-05,94121,2658,3
2019-11-05,94122,5441,3
2019-11-05,94123,4170,3
2019-11-05,94124,93,3
2019-11-05,94127,2981,3
2019-11-05,94131,626,3
2019-11-05,94132,712,3
2019-11-05,94133,3944,3
2019-11-05,94134,847,3
2019-11-05,NA,1373,3
2019-11-06,94102,3958,4
2019-11-06,94103,6127,4
2019-11-06,94104,545,4
2019-11-06,94105,2884,4
2019-11-06,94107,5782,4
2019-11-06,94108,1478,4
2019-11-06,94109,5960,4
2019-11-06,94110,7242,4
2019-11-06,94111,3933,4
2019-11-06,94112,2378,4
2019-11-06,94114,3085,4
2019-11-06,94115,4463,4
2019-11-06,94116,1262,4
2019-11-06,94117,1771,4
2019-11-06,94118,7207,4
2019-11-06,94121,2752,4
2019-11-06,94122,5132,4
2019-11-06,94123,4228,4
2019-11-06,94124,112,4
2019-11-06,94127,3112,4
2019-11-06,94131,559,4
2019-11-06,94132,755,4
2019-11-06,94133,4002,4
2019-11-06,94134,1000,4
2019-11-06,NA,1306,4
2019-11-07,94102,3905,5
2019-11-07,94103,6428,5
2019-11-07,94104,497,5
2019-11-07,94105,2730,5
2019-11-07,94107,5862,5
2019-11-07,94108,1410,5
2019-11-07,94109,5678,5
2019-11-07,94110,7330,5
2019-11-07,94111,4140,5
2019-11-07,94112,2096,5
2019-11-07,94114,3073,5
2019-11-07,94115,4473,5
2019-11-07,94116,1267,5
2019-11-07,94117,1962,5
2019-11-07,94118,7114,5
2019-11-07,94121,2712,5
2019-11-07,94122,5123,5
2019-11-07,94123,4146,5
2019-11-07,94124,106,5
2019-11-07,94127,3060,5
2019-11-07,94131,583,5
2019-11-07,94132,689,5
2019-11-07,94133,3795,5
2019-11-07,94134,917,5
2019-11-07,NA,1327,5
2019-11-08,94102,4290,6
2019-11-08,94103,6151,6
2019-11-08,94104,485,6
2019-11-08,94105,2814,6
2019-11-08,94107,6099,6
2019-11-08,94108,1585,6
2019-11-08,94109,6167,6
2019-11-08,94110,7650,6
2019-11-08,94111,4092,6
2019-11-08,94112,2508,6
2019-11-08,94114,3174,6
2019-11-08,94115,4725,6
2019-11-08,94116,1475,6
2019-11-08,94117,2122,6
2019-11-08,94118,7507,6
2019-11-08,94121,3196,6
2019-11-08,94122,5430,6
2019-11-08,94123,4265,6
2019-11-08,94124,96,6
2019-11-08,94127,3163,6
2019-11-08,94131,605,6
2019-11-08,94132,717,6
2019-11-08,94133,4226,6
2019-11-08,94134,999,6
2019-11-08,NA,1528,6
2019-11-09,94102,4290,7
2019-11-09,94103,5419,7
2019-11-09,94104,659,7
2019-11-09,94105,3285,7
2019-11-09,94107,5671,7
2019-11-09,94108,2436,7
2019-11-09,94109,6697,7
2019-11-09,94110,8132,7
2019-11-09,94111,4289,7
2019-11-09,94112,2908,7
2019-11-09,94114,3417,7
2019-11-09,94115,4665,7
2019-11-09,94116,1671,7
2019-11-09,94117,2290,7
2019-11-09,94118,7657,7
2019-11-09,94121,3354,7
2019-11-09,94122,5612,7
2019-11-09,94123,4444,7
2019-11-09,94124,84,7
2019-11-09,94127,3400,7
2019-11-09,94131,585,7
2019-11-09,94132,596,7
2019-11-09,94133,5106,7
2019-11-09,94134,861,7
2019-11-09,NA,1865,7
2019-11-11,94102,3005,2
2019-11-11,94103,4904,2
2019-11-11,94104,417,2
2019-11-11,94105,2654,2
2019-11-11,94107,5387,2
2019-11-11,94108,1518,2
2019-11-11,94109,5867,2
2019-11-11,94110,6553,2
2019-11-11,94111,4049,2
2019-11-11,94112,2177,2
2019-11-11,94114,2746,2
2019-11-11,94115,4158,2
2019-11-11,94116,1288,2
2019-11-11,94117,1916,2
2019-11-11,94118,6967,2
2019-11-11,94121,2678,2
2019-11-11,94122,4414,2
2019-11-11,94123,4074,2
2019-11-11,94124,66,2
2019-11-11,94127,2811,2
2019-11-11,94131,471,2
2019-11-11,94132,428,2
2019-11-11,94133,4264,2
2019-11-11,94134,718,2
2019-11-11,NA,1157,2
2019-11-12,94102,4095,3
2019-11-12,94103,6105,3
2019-11-12,94104,495,3
2019-11-12,94105,2745,3
2019-11-12,94107,5777,3
2019-11-12,94108,1424,3
2019-11-12,94109,5720,3
2019-11-12,94110,7486,3
2019-11-12,94111,3958,3
2019-11-12,94112,2661,3
2019-11-12,94114,3038,3
2019-11-12,94115,4683,3
2019-11-12,94116,1388,3
2019-11-12,94117,2107,3
2019-11-12,94118,7054,3
2019-11-12,94121,2901,3
2019-11-12,94122,5728,3
2019-11-12,94123,4030,3
2019-11-12,94124,108,3
2019-11-12,94127,3158,3
2019-11-12,94131,480,3
2019-11-12,94132,610,3
2019-11-12,94133,3878,3
2019-11-12,94134,722,3
2019-11-12,NA,1189,3
2019-11-13,94102,4022,4
2019-11-13,94103,6003,4
2019-11-13,94104,527,4
2019-11-13,94105,2702,4
2019-11-13,94107,5762,4
2019-11-13,94108,1302,4
2019-11-13,94109,5490,4
2019-11-13,94110,7604,4
2019-11-13,94111,3958,4
2019-11-13,94112,2251,4
2019-11-13,94114,3070,4
2019-11-13,94115,4342,4
2019-11-13,94116,1324,4
2019-11-13,94117,2170,4
2019-11-13,94118,6977,4
2019-11-13,94121,2909,4
2019-11-13,94122,5409,4
2019-11-13,94123,4191,4
2019-11-13,94124,81,4
2019-11-13,94127,2990,4
2019-11-13,94131,534,4
2019-11-13,94132,716,4
2019-11-13,94133,4122,4
2019-11-13,94134,782,4
2019-11-13,NA,1255,4
2019-11-14,94102,4022,5
2019-11-14,94103,5973,5
2019-11-14,94104,525,5
2019-11-14,94105,2663,5
2019-11-14,94107,5730,5
2019-11-14,94108,1399,5
2019-11-14,94109,5480,5
2019-11-14,94110,7262,5
2019-11-14,94111,3927,5
2019-11-14,94112,2689,5
2019-11-14,94114,2899,5
2019-11-14,94115,4314,5
2019-11-14,94116,1298,5
2019-11-14,94117,2070,5
2019-11-14,94118,7156,5
2019-11-14,94121,2712,5
2019-11-14,94122,5288,5
2019-11-14,94123,4087,5
2019-11-14,94124,79,5
2019-11-14,94127,3272,5
2019-11-14,94131,562,5
2019-11-14,94132,746,5
2019-11-14,94133,4095,5
2019-11-14,94134,646,5
2019-11-14,NA,1244,5
2019-11-15,94102,4193,6
2019-11-15,94103,6335,6
2019-11-15,94104,448,6
2019-11-15,94105,2797,6
2019-11-15,94107,5569,6
2019-11-15,94108,1450,6
2019-11-15,94109,5714,6
2019-11-15,94110,7604,6
2019-11-15,94111,3895,6
2019-11-15,94112,3017,6
2019-11-15,94114,3139,6
2019-11-15,94115,4756,6
2019-11-15,94116,1298,6
